timestamp,escuela,grado,curso,edad,genero,lugar_computadora,uso_computadora,aprender_computadora,dueño_celular,uso_celular,¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?",¿Conocés o alguna vez usaste Wikipedia?,"Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
11/17/2022 9:27:14,Escuela Nueva Juan Mantovani,Quinto,A,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hablo con amigos","Me enseñaron en mi casa",El mío,"Hablo con amigos, Uso redes sociales, Hablo por teléfono, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Los mensajes recibidos están verificados por un filtro inteligente. El link es seguro.,Una red de antenas y satélites,"Se puede usar la nube para jugar juegos sin instalarlos, La nube me permite guardar las fotos y videos del celular, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube, Sin la nube sería imposible sacar fotos con el celular",Internet y la nube no tienen funciones en común.,No,
11/17/2022 9:27:39,Escuela Nueva Juan Mantovani,Quinto,A,11,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa",No uso celular,"Hablo con amigos, Juego juegos",No sé,Solo yo.,No sé,Tengo que borrar la foto en el chat.,No sé,No sé.,Una nube,Sin la nube no sería posible hacer llamadas por celular,Podemos hacer exactamente lo mismo con Internet que con la nube.,Sí,No hay forma de saber si la información del artículo es verdadera o falsa.
11/17/2022 9:27:51,Escuela Nueva Juan Mantovani,Quinto,A,11,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa, Me enseñaron en la escuela",El mío,"Hablo con amigos, Uso redes sociales, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En mi celular,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),"Se puede usar la nube para jugar juegos sin instalarlos, La nube me permite guardar las fotos y videos del celular, Sin la nube no sería posible hacer llamadas por celular",No sé.,No,
11/17/2022 9:28:03,Escuela Nueva Juan Mantovani,Quinto,A,11,Femenino,En mi casa,"Hablo con amigos","Me enseñaron en mi casa",El mío,"Hablo con amigos, Uso redes sociales, Hablo por teléfono",En una computadora,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una red de antenas y satélites,"La nube me permite guardar las fotos y videos del celular, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/17/2022 9:28:23,Escuela Nueva Juan Mantovani,Quinto,A,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa",No uso celular,"Miro videos en YouTube, Juego juegos",En la nube,No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.,Una red de antenas y satélites,"Sin la nube sería imposible escuchar música en el celular, Se puede usar la nube para jugar juegos sin instalarlos, Sin la nube no sería posible hacer llamadas por celular, Instagram y TikTok usan la nube para compartir sus videos, Google Maps descarga sus mapas de la nube, Sin la nube sería imposible sacar fotos con el celular",No sé.,No,
11/17/2022 9:28:31,Escuela Nueva Juan Mantovani,Quinto,A,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Hablo con amigos, Uso redes sociales, Juego juegos",En una computadora,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una red de antenas y satélites,Instagram y TikTok usan la nube para compartir sus videos,Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/17/2022 9:28:33,Escuela Nueva Juan Mantovani,Quinto,A,10,Masculino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa",El mío,"Uso redes sociales, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,No sé,,,No,
11/17/2022 9:29:00,Escuela Nueva Juan Mantovani,Quinto,A,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube",Aprendí solo,El mío,"Hablo con amigos, Miro videos en YouTube, Hablo por teléfono, Juego juegos",En una computadora,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.,Una parte del celular,"Se puede usar la nube para jugar juegos sin instalarlos, Podemos utilizar la nube sin conexión a Internet, La nube me permite guardar las fotos y videos del celular, Sin la nube sería imposible sacar fotos con el celular",Con la nube podemos hacer más cosas que con Internet.,Sí,Hace falta investigar más para decidir si la información es verdadera o falsa.
11/17/2022 9:29:19,Escuela Nueva Juan Mantovani,Quinto,A,10,Femenino,En mi casa,Juego juegos,"Me enseñaron en mi casa",El mío,"Hablo con amigos, Uso redes sociales, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Una red de antenas y satélites,"Podemos utilizar la nube sin conexión a Internet, Instagram y TikTok usan la nube para compartir sus videos",Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,Toda la información en el artículo es verdadera porque está verificada.
11/17/2022 9:30:11,Escuela Nueva Juan Mantovani,Quinto,A,10,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,"Hablo con amigos, Uso redes sociales, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.,Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),La nube me permite guardar las fotos y videos del celular,Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.,Sí,No hay forma de saber si la información del artículo es verdadera o falsa.
