"Timestamp","Escuela","Grado","Sección / Curso","Edad","Género","¿En qué lugar usás comúnmente la computadora?","¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?","¿Dónde aprendiste a usar la computadora (podés elegir más de una opción) ?","¿Qué celular usás?","Si usás celular: ¿qué haces cuando usás el celular (podés elegir más de una opción)?","¿Dónde se almacenan los videos que están en YouTube?","¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?","Cuando le mando a una amiga una foto por WhatsApp...","Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?","Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?","Si me llega un mensaje por WhatsApp con un link para descargar una aplicación, ¿cuál de las siguientes opciones creés que es la correcta?","En informática, ¿qué es la nube?","De las siguientes afirmaciones sobre la nube, marcá la o las que creas correctas (podés elegir más de una opción):","Si cada círculo representa las cosas que podemos hacer con Internet y la nube, ¿cómo creés que se comportan?","¿Conocés o alguna vez usaste Wikipedia?","Si tengo que hacer un trabajo para la escuela y después de buscar en Wikipedia encuentro un artículo que habla del tema, ¿cuál de las siguientes opciones creés que es la correcta?"
"2022/11/24 11:22:53 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Femenino","En mi casa","Juego juegos;Hago la tarea;Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:22:55 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Miro videos en YouTube;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","No sé","","","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:23:05 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En mi casa","Miro videos en YouTube","Aprendí solo","El mío","Juego juegos","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos están verificados por personas en WhatsApp. El link es seguro.","Una nube","Podemos utilizar la nube sin conexión a Internet","Con Internet podemos hacer más cosas que con la nube.","No",""
"2022/11/24 11:23:13 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En la escuela","Juego juegos;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Me enseñaron en la escuela","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono","En mi celular","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","No sé","No sé.","Una nube","La nube me permite guardar las fotos y videos del celular","No sé.","No",""
"2022/11/24 11:23:56 AM GMT-3","Colegio Modelo Mármol","Sexto","A","11","Masculino","En mi casa","Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar);Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Juego juegos","No sé","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda directamente.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Google Maps descarga sus mapas de la nube","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:24:08 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En la escuela","Miro videos en YouTube","Aprendí solo","El mío","Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)","En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:24:15 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Masculino","En mi casa","Hago la tarea;creo words","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos;Investigo en Wikipedia;hago la tarea","En la nube","Yo y otras personas.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda a través de una red de antenas y computadoras.","Si el mensaje fue enviado por uno de mis contactos entonces el link es seguro.","Muchísimas computadoras (tantas que podrían llenar una cancha de fútbol)","Se puede usar la nube para jugar juegos sin instalarlos;La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos","Internet y la nube no tienen funciones en común.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:24:24 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En la escuela","Juego juegos;Hago la tarea","Me enseñaron en la escuela;Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","Tengo que borrar la foto en el chat.","El mensaje se manda a través de un satélite.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","Se puede usar la nube para jugar juegos sin instalarlos;Podemos utilizar la nube sin conexión a Internet;La nube me permite guardar las fotos y videos del celular;Sin la nube no sería posible hacer llamadas por celular","Con la nube podemos hacer más cosas que con Internet.","Sí","Hace falta investigar más para decidir si la información es verdadera o falsa."
"2022/11/24 11:24:33 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Femenino","En mi casa","Juego juegos;Miro videos en YouTube","Aprendí solo","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Hablo por teléfono;Juego juegos","En la nube","Solo yo.","La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","El mensaje se manda directamente.","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Sin la nube sería imposible sacar fotos con el celular","Internet y la nube no tienen funciones en común.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
"2022/11/24 11:24:53 AM GMT-3","Colegio Modelo Mármol","Sexto","A","12","Masculino","En mi casa","Juego juegos;Miro videos en YouTube;Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)","El mío","Chateo (por ejemplo en WhatsApp o Telegram);Miro redes sociales (por ejemplo Facebook, TikTok o Instagram);Miro videos en YouTube;Hablo por teléfono;Juego juegos","En la nube","Solo yo.","Le doy permiso para ver la foto que tengo guardada en mi celular.","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.","No sé","Los mensajes recibidos no están verificados de ninguna forma. No podemos saber si el link es seguro.","Una red de antenas y satélites","La nube me permite guardar las fotos y videos del celular;Instagram y TikTok usan la nube para compartir sus videos;Google Maps descarga sus mapas de la nube","Internet y la nube tienen algunas funciones comunes y algunas funciones distintas.","Sí","No hay forma de saber si la información del artículo es verdadera o falsa."
